dedup_rank,candidate_rank,asset_id,path,rank_score,flatness_ratio,panel_aspect_ratio,extent_x,extent_y,extent_z,faces,vertices,meshes,materials,textures,images,image_width_max,image_height_max,dedupe_key,duplicate_group_size,dedupe_choice_reason,geometry_flags,technical_flags,reject_flags,raw_metadata_json
11,15,B01LONPUM4,4/B01LONPUM4.glb,13.0000,0.047500,2.422658,0.0406,0.004672,0.098359,7824,5427,1,1,3,3,4096,4096,"ext:0.00,0.04,0.10|flat:0.05|aspect:2.42|faces:2|textures:3|materials:1",2,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:7824;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B01LONPUM4"",""extent_x"":""0.04059953615069389"",""extent_y"":""0.004672025330364705"",""extent_z"":""0.09835877269506454"",""faces"":""7824"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""4/B01LONPUM4.glb"",""textures"":""3"",""vertices"":""5427""}"
12,17,B01LONQ7R6,6/B01LONQ7R6.glb,13.0000,0.055945,2.432153,0.040447,0.005504,0.098374,7890,5379,1,1,3,3,4096,4096,"ext:0.01,0.04,0.10|flat:0.06|aspect:2.43|faces:2|textures:3|materials:1",2,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:7890;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B01LONQ7R6"",""extent_x"":""0.040447428822517395"",""extent_y"":""0.005503559485077859"",""extent_z"":""0.09837433323264122"",""faces"":""7890"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""6/B01LONQ7R6.glb"",""textures"":""3"",""vertices"":""5379""}"
13,19,B01LP0U5X0,0/B01LP0U5X0.glb,13.0000,0.011451,3.034865,1.86868,0.021399,0.615737,10752,5734,1,1,3,3,4096,4096,"ext:0.02,0.62,1.87|flat:0.01|aspect:3.03|faces:2|textures:3|materials:1",5,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:10752;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B01LP0U5X0"",""extent_x"":""1.8686801195144653"",""extent_y"":""0.02139851823449135"",""extent_z"":""0.6157374978065491"",""faces"":""10752"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""0/B01LP0U5X0.glb"",""textures"":""3"",""vertices"":""5734""}"
14,22,B01LP0UX9G,G/B01LP0UX9G.glb,13.0000,0.011360,3.059153,1.883635,0.021399,0.615737,10752,5734,1,1,3,3,4096,4096,"ext:0.02,0.62,1.88|flat:0.01|aspect:3.06|faces:2|textures:3|materials:1",2,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:10752;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B01LP0UX9G"",""extent_x"":""1.8836349248886108"",""extent_y"":""0.02139851823449135"",""extent_z"":""0.6157374978065491"",""faces"":""10752"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""G/B01LP0UX9G.glb"",""textures"":""3"",""vertices"":""5734""}"
15,26,B06VVXMJ1S,S/B06VVXMJ1S.glb,13.0000,0.004687,1.147025,0.451021,0.002114,0.39321,1568,914,1,1,3,3,4096,4096,"ext:0.00,0.39,0.45|flat:0.00|aspect:1.15|faces:0|textures:3|materials:1",1,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:1568;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B06VVXMJ1S"",""extent_x"":""0.45102129876613617"",""extent_y"":""0.002114003524184227"",""extent_z"":""0.393209770321846"",""faces"":""1568"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""S/B06VVXMJ1S.glb"",""textures"":""3"",""vertices"":""914""}"
16,27,B06X19FLTC,C/B06X19FLTC.glb,13.0000,0.003376,2.138396,0.906579,0.00306,0.423953,1568,914,1,1,3,3,4096,4096,"ext:0.00,0.42,0.91|flat:0.00|aspect:2.14|faces:0|textures:3|materials:1",1,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:1568;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B06X19FLTC"",""extent_x"":""0.9065788686275482"",""extent_y"":""0.0030603620689362288"",""extent_z"":""0.42395269870758057"",""faces"":""1568"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""C/B06X19FLTC.glb"",""textures"":""3"",""vertices"":""914""}"
17,28,B06X3W3YQD,D/B06X3W3YQD.glb,13.0000,0.006456,1.171099,0.314933,0.002033,0.268921,1568,914,1,1,3,3,4096,4096,"ext:0.00,0.27,0.31|flat:0.01|aspect:1.17|faces:0|textures:3|materials:1",1,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:1568;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B06X3W3YQD"",""extent_x"":""0.31493327021598816"",""extent_y"":""0.0020332278218120337"",""extent_z"":""0.26892124116420746"",""faces"":""1568"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""D/B06X3W3YQD.glb"",""textures"":""3"",""vertices"":""914""}"
18,29,B06X6H2WF7,7/B06X6H2WF7.glb,13.0000,0.008631,1.179079,0.248691,0.002146,0.21092,1568,914,1,1,3,3,4096,4096,"ext:0.00,0.21,0.25|flat:0.01|aspect:1.18|faces:0|textures:3|materials:1",1,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:1568;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B06X6H2WF7"",""extent_x"":""0.24869108945131302"",""extent_y"":""0.002146385610103607"",""extent_z"":""0.21091970801353455"",""faces"":""1568"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""7/B06X6H2WF7.glb"",""textures"":""3"",""vertices"":""914""}"
19,30,B07121ZVVT,T/B07121ZVVT.glb,13.0000,0.006563,1.498902,2.2804,0.014967,1.52138,2672,1410,1,1,3,3,2048,2048,"ext:0.01,1.52,2.28|flat:0.01|aspect:1.50|faces:1|textures:3|materials:1",1,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:2672;image_res:2048x2048;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B07121ZVVT"",""extent_x"":""2.2803996801376343"",""extent_y"":""0.014966956339776518"",""extent_z"":""1.521380364894867"",""faces"":""2672"",""image_height_max"":""2048"",""image_height_min"":""2048"",""image_width_max"":""2048"",""image_width_min"":""2048"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""T/B07121ZVVT.glb"",""textures"":""3"",""vertices"":""1410""}"
20,31,B07121ZVX4,4/B07121ZVX4.glb,13.0000,0.005935,1.367459,2.141397,0.01271,1.565968,2416,1318,1,1,3,3,2048,2048,"ext:0.01,1.57,2.14|flat:0.01|aspect:1.37|faces:0|textures:3|materials:1",2,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:2416;image_res:2048x2048;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B07121ZVX4"",""extent_x"":""2.1413971185684204"",""extent_y"":""0.012709821574389936"",""extent_z"":""1.565967857837677"",""faces"":""2416"",""image_height_max"":""2048"",""image_height_min"":""2048"",""image_width_max"":""2048"",""image_width_min"":""2048"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""4/B07121ZVX4.glb"",""textures"":""3"",""vertices"":""1318""}"
21,32,B07121ZVXN,N/B07121ZVXN.glb,13.0000,0.006223,1.265103,2.895149,0.018016,2.288469,6964,5159,1,1,3,3,2048,2048,"ext:0.02,2.29,2.90|flat:0.01|aspect:1.27|faces:1|textures:3|materials:1",3,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:6964;image_res:2048x2048;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B07121ZVXN"",""extent_x"":""2.8951494693756104"",""extent_y"":""0.018016209825873375"",""extent_z"":""2.288468837738037"",""faces"":""6964"",""image_height_max"":""2048"",""image_height_min"":""2048"",""image_width_max"":""2048"",""image_width_min"":""2048"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""N/B07121ZVXN.glb"",""textures"":""3"",""vertices"":""5159""}"
22,33,B07121ZWNC,C/B07121ZWNC.glb,13.0000,0.006957,1.389057,2.143782,0.014913,1.543336,1776,986,1,1,3,3,2048,2048,"ext:0.01,1.54,2.14|flat:0.01|aspect:1.39|faces:0|textures:3|materials:1",2,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:1776;image_res:2048x2048;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B07121ZWNC"",""extent_x"":""2.1437817811965942"",""extent_y"":""0.014913259074091913"",""extent_z"":""1.5433361530303955"",""faces"":""1776"",""image_height_max"":""2048"",""image_height_min"":""2048"",""image_width_max"":""2048"",""image_width_min"":""2048"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""C/B07121ZWNC.glb"",""textures"":""3"",""vertices"":""986""}"
23,34,B0713T6T4D,D/B0713T6T4D.glb,13.0000,0.030209,1.281952,0.766643,0.982799,0.029689,21768,13470,1,1,3,3,4096,4096,"ext:0.03,0.77,0.98|flat:0.03|aspect:1.28|faces:4|textures:3|materials:1",1,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:21768;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B0713T6T4D"",""extent_x"":""0.7666430473327637"",""extent_y"":""0.9827993810176849"",""extent_z"":""0.02968941070139408"",""faces"":""21768"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""D/B0713T6T4D.glb"",""textures"":""3"",""vertices"":""13470""}"
24,35,B0713T6W1C,C/B0713T6W1C.glb,13.0000,0.052900,1.000001,0.609914,0.609913,0.032265,2412,1592,1,1,3,3,2048,2048,"ext:0.03,0.61,0.61|flat:0.05|aspect:1.00|faces:0|textures:3|materials:1",2,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:2412;image_res:2048x2048;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B0713T6W1C"",""extent_x"":""0.6099140048027039"",""extent_y"":""0.6099134683609009"",""extent_z"":""0.032264597713947296"",""faces"":""2412"",""image_height_max"":""2048"",""image_height_min"":""2048"",""image_width_max"":""2048"",""image_width_min"":""2048"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""C/B0713T6W1C.glb"",""textures"":""3"",""vertices"":""1592""}"
25,36,B0714MJDXC,C/B0714MJDXC.glb,13.0000,0.009621,1.491997,1.835409,0.017658,1.230169,1076,672,1,1,3,3,2048,2048,"ext:0.02,1.23,1.84|flat:0.01|aspect:1.49|faces:0|textures:3|materials:1",2,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:1076;image_res:2048x2048;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B0714MJDXC"",""extent_x"":""1.8354090452194214"",""extent_y"":""0.017657777294516563"",""extent_z"":""1.230169415473938"",""faces"":""1076"",""image_height_max"":""2048"",""image_height_min"":""2048"",""image_width_max"":""2048"",""image_width_min"":""2048"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""C/B0714MJDXC.glb"",""textures"":""3"",""vertices"":""672""}"
26,37,B0714MJKZW,W/B0714MJKZW.glb,13.0000,0.008651,1.602949,2.447462,0.021173,1.526849,2036,1096,1,1,3,3,2048,2048,"ext:0.02,1.53,2.45|flat:0.01|aspect:1.60|faces:0|textures:3|materials:1",1,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:2036;image_res:2048x2048;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B0714MJKZW"",""extent_x"":""2.447462320327759"",""extent_y"":""0.021172909066081047"",""extent_z"":""1.526849389076233"",""faces"":""2036"",""image_height_max"":""2048"",""image_height_min"":""2048"",""image_width_max"":""2048"",""image_width_min"":""2048"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""W/B0714MJKZW.glb"",""textures"":""3"",""vertices"":""1096""}"
27,38,B0714MJL15,5/B0714MJL15.glb,13.0000,0.006438,1.257518,3.032299,0.019521,2.411336,4160,2282,1,1,3,3,2048,2048,"ext:0.02,2.41,3.03|flat:0.01|aspect:1.26|faces:1|textures:3|materials:1",1,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:4160;image_res:2048x2048;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B0714MJL15"",""extent_x"":""3.0322988033294678"",""extent_y"":""0.019521187990903854"",""extent_z"":""2.4113357067108154"",""faces"":""4160"",""image_height_max"":""2048"",""image_height_min"":""2048"",""image_width_max"":""2048"",""image_width_min"":""2048"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""5/B0714MJL15.glb"",""textures"":""3"",""vertices"":""2282""}"
28,39,B0714MJLPX,X/B0714MJLPX.glb,13.0000,0.007348,1.591273,2.448924,0.017995,1.538972,2816,1490,1,1,3,3,2048,2048,"ext:0.02,1.54,2.45|flat:0.01|aspect:1.59|faces:1|textures:3|materials:1",1,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:2816;image_res:2048x2048;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B0714MJLPX"",""extent_x"":""2.4489240646362305"",""extent_y"":""0.017994510009884834"",""extent_z"":""1.5389716625213623"",""faces"":""2816"",""image_height_max"":""2048"",""image_height_min"":""2048"",""image_width_max"":""2048"",""image_width_min"":""2048"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""X/B0714MJLPX.glb"",""textures"":""3"",""vertices"":""1490""}"
29,40,B0714MJLTB,B/B0714MJLTB.glb,13.0000,0.004255,1.596711,2.440411,0.010384,1.528399,19910,11197,1,1,3,3,4096,4096,"ext:0.01,1.53,2.44|flat:0.00|aspect:1.60|faces:4|textures:3|materials:1",2,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:19910;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B0714MJLTB"",""extent_x"":""2.44041109085083"",""extent_y"":""0.010384056717157366"",""extent_z"":""1.528398871421814"",""faces"":""19910"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""B/B0714MJLTB.glb"",""textures"":""3"",""vertices"":""11197""}"
30,41,B0714MMHBL,L/B0714MMHBL.glb,13.0000,0.007078,1.571677,1.667858,0.011806,1.061196,7200,3882,1,1,3,3,4096,4096,"ext:0.01,1.06,1.67|flat:0.01|aspect:1.57|faces:1|textures:3|materials:1",2,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:7200;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B0714MMHBL"",""extent_x"":""1.6678575277328491"",""extent_y"":""0.011805909685790539"",""extent_z"":""1.0611963868141174"",""faces"":""7200"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""L/B0714MMHBL.glb"",""textures"":""3"",""vertices"":""3882""}"
