item_id,relative_path,url,local_glb_path,exists_local,status,faces,vertices,meshes,materials,textures,images,image_width_max,image_height_max
B075YM2VXJ,J/B075YM2VXJ.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/J/B075YM2VXJ.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/J/B075YM2VXJ.glb,true,found,3916,2308,1,1,3,3,2048,2048
B073P5FLX9,9/B073P5FLX9.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/9/B073P5FLX9.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/9/B073P5FLX9.glb,true,found,1732,1044,1,1,3,3,2048,2048
B073P77B6B,B/B073P77B6B.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/B/B073P77B6B.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/B/B073P77B6B.glb,true,found,536,426,1,1,3,3,2048,2048
B075YLKFB6,6/B075YLKFB6.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/6/B075YLKFB6.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/6/B075YLKFB6.glb,true,found,1020,792,1,1,3,3,2048,2048
B073P1BVBV,V/B073P1BVBV.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/V/B073P1BVBV.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/V/B073P1BVBV.glb,true,found,348,272,1,1,3,3,2048,2048
B073P52NDX,X/B073P52NDX.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/X/B073P52NDX.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/X/B073P52NDX.glb,true,found,652,427,1,1,3,3,2048,2048
B075YLXVBF,F/B075YLXVBF.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/F/B075YLXVBF.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/F/B075YLXVBF.glb,true,found,8346,4957,1,1,3,3,2048,2048
B073NZWZ5F,F/B073NZWZ5F.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/F/B073NZWZ5F.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/F/B073NZWZ5F.glb,true,found,784,526,1,1,3,3,2048,2048
B075YLSC6F,F/B075YLSC6F.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/F/B075YLSC6F.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/F/B075YLSC6F.glb,true,found,1020,792,1,1,3,3,2048,2048
B073P6HGSG,G/B073P6HGSG.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/G/B073P6HGSG.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/G/B073P6HGSG.glb,true,found,188,168,1,1,3,3,2048,2048
B073P5Y9ST,T/B073P5Y9ST.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/T/B073P5Y9ST.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/T/B073P5Y9ST.glb,true,found,616,442,1,1,3,3,2048,2048
B073P5KN5N,N/B073P5KN5N.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/N/B073P5KN5N.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/N/B073P5KN5N.glb,true,found,1732,1044,1,1,3,3,2048,2048
B075YLQTJ3,3/B075YLQTJ3.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/3/B075YLQTJ3.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/3/B075YLQTJ3.glb,true,found,1020,792,1,1,3,3,2048,2048
B075YLKB9G,G/B075YLKB9G.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/G/B075YLKB9G.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/G/B075YLKB9G.glb,true,found,2010,3780,1,1,3,3,2048,2048
B073NZFTH9,9/B073NZFTH9.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/9/B073NZFTH9.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/9/B073NZFTH9.glb,true,found,1732,1044,1,1,3,3,2048,2048
B075YMJCH9,9/B075YMJCH9.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/9/B075YMJCH9.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/9/B075YMJCH9.glb,true,found,1020,792,1,1,3,3,2048,2048
B073P13J43,3/B073P13J43.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/3/B073P13J43.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/3/B073P13J43.glb,true,found,680,398,1,1,3,3,2048,2048
B073P5Y9SH,H/B073P5Y9SH.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/H/B073P5Y9SH.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/H/B073P5Y9SH.glb,true,found,808,634,1,1,3,3,2048,2048
B073P1H786,6/B073P1H786.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/6/B073P1H786.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/6/B073P1H786.glb,true,found,776,736,1,1,3,3,2048,2048
B073P1KF99,9/B073P1KF99.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/9/B073P1KF99.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/9/B073P1KF99.glb,true,found,164,188,1,1,3,3,2048,2048
B073P1H61D,D/B073P1H61D.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/D/B073P1H61D.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/D/B073P1H61D.glb,true,found,348,272,1,1,3,3,2048,2048
B075YLXSJC,C/B075YLXSJC.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/C/B075YLXSJC.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/C/B075YLXSJC.glb,true,found,1084,744,1,1,3,3,2048,2048
B073P19RVS,S/B073P19RVS.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/S/B073P19RVS.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/S/B073P19RVS.glb,true,found,316,348,1,1,3,3,4096,4096
B075YLQTGZ,Z/B075YLQTGZ.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/Z/B075YLQTGZ.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/Z/B075YLQTGZ.glb,true,found,504,398,1,1,3,3,2048,2048
B073P16J7L,L/B073P16J7L.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/L/B073P16J7L.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B073P16J7L.glb,true,found,184,203,1,1,3,3,2048,2048
B073P1LM2L,L/B073P1LM2L.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/L/B073P1LM2L.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B073P1LM2L.glb,true,found,576,486,1,1,3,3,2048,2048
B075YNL7JB,B/B075YNL7JB.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/B/B075YNL7JB.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/B/B075YNL7JB.glb,true,found,282,566,1,1,3,3,2048,2048
B073P1WWTQ,Q/B073P1WWTQ.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/Q/B073P1WWTQ.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/Q/B073P1WWTQ.glb,true,found,736,526,1,1,3,3,2048,2048
B073NZGLT1,1/B073NZGLT1.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/1/B073NZGLT1.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/1/B073NZGLT1.glb,true,found,864,604,1,1,3,3,2048,2048
B073P5QJ5T,T/B073P5QJ5T.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/T/B073P5QJ5T.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/T/B073P5QJ5T.glb,true,found,540,360,1,1,3,3,2048,2048
B073P51233,3/B073P51233.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/3/B073P51233.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/3/B073P51233.glb,true,found,288,225,1,1,3,3,2048,2048
B07HSK626Y,Y/B07HSK626Y.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/Y/B07HSK626Y.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/Y/B07HSK626Y.glb,true,found,804,568,1,1,3,3,2048,2048
B073NZT56C,C/B073NZT56C.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/C/B073NZT56C.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/C/B073NZT56C.glb,true,found,140,140,1,1,3,3,2048,2048
B073P1N3BY,Y/B073P1N3BY.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/Y/B073P1N3BY.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/Y/B073P1N3BY.glb,true,found,11504,7427,1,1,3,3,2048,2048
B073P6BQQF,F/B073P6BQQF.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/F/B073P6BQQF.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/F/B073P6BQQF.glb,true,found,2052,1340,1,1,3,3,2048,2048
B073P1S8VZ,Z/B073P1S8VZ.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/Z/B073P1S8VZ.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/Z/B073P1S8VZ.glb,true,found,1760,1026,1,1,3,3,2048,2048
B075HRC94H,H/B075HRC94H.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/H/B075HRC94H.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/H/B075HRC94H.glb,true,found,3472,2809,1,1,3,3,4096,4096
B075YNL7DH,H/B075YNL7DH.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/H/B075YNL7DH.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/H/B075YNL7DH.glb,true,found,444,344,1,1,3,3,2048,2048
B073P5C7JG,G/B073P5C7JG.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/G/B073P5C7JG.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/G/B073P5C7JG.glb,true,found,196,225,1,1,3,3,2048,2048
B075YLPZ9V,V/B075YLPZ9V.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/V/B075YLPZ9V.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/V/B075YLPZ9V.glb,true,found,394,309,1,1,3,3,2048,2048
B073P1GB8K,K/B073P1GB8K.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/K/B073P1GB8K.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/K/B073P1GB8K.glb,true,found,16908,9717,1,1,3,3,4096,4096
B073P1H6D8,8/B073P1H6D8.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/8/B073P1H6D8.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/8/B073P1H6D8.glb,true,found,348,281,1,1,3,3,2048,2048
B073NZPN2W,W/B073NZPN2W.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/W/B073NZPN2W.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/W/B073NZPN2W.glb,true,found,322,342,1,1,3,3,2048,2048
B075YNHLD5,5/B075YNHLD5.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/5/B075YNHLD5.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/5/B075YNHLD5.glb,true,found,102,180,1,1,3,3,2048,2048
B073P12PK4,4/B073P12PK4.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/4/B073P12PK4.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/4/B073P12PK4.glb,true,found,220,194,1,1,3,3,2048,2048
B073P17T1P,P/B073P17T1P.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/P/B073P17T1P.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/P/B073P17T1P.glb,true,found,236,268,1,1,3,3,2048,2048
B073P1HRN3,3/B073P1HRN3.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/3/B073P1HRN3.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/3/B073P1HRN3.glb,true,found,340,268,1,1,3,3,2048,2048
B07HSGKLJL,L/B07HSGKLJL.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/L/B07HSGKLJL.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B07HSGKLJL.glb,true,found,156,112,1,1,3,3,2048,2048
B073P1BVTF,F/B073P1BVTF.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/F/B073P1BVTF.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/F/B073P1BVTF.glb,true,found,496,314,1,1,3,3,2048,2048
B073P19S5F,F/B073P19S5F.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/F/B073P19S5F.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/F/B073P19S5F.glb,true,found,236,220,1,1,3,3,2048,2048
B073P5RRF9,9/B073P5RRF9.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/9/B073P5RRF9.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/9/B073P5RRF9.glb,true,found,2156,1312,1,1,3,3,2048,2048
B07661HPJP,P/B07661HPJP.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/P/B07661HPJP.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/P/B07661HPJP.glb,true,found,3976,2840,1,1,3,3,4096,4096
B075YLG1B5,5/B075YLG1B5.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/5/B075YLG1B5.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/5/B075YLG1B5.glb,true,found,260,253,1,1,3,3,2048,2048
B07HSKKXT2,2/B07HSKKXT2.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/2/B07HSKKXT2.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/2/B07HSKKXT2.glb,true,found,468,364,1,1,3,3,2048,2048
B073P16J7Y,Y/B073P16J7Y.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/Y/B073P16J7Y.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/Y/B073P16J7Y.glb,true,found,324,224,1,1,3,3,2048,2048
B073P5LN67,7/B073P5LN67.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/7/B073P5LN67.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/7/B073P5LN67.glb,true,found,4788,2784,1,1,3,3,2048,2048
B073NZS57H,H/B073NZS57H.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/H/B073NZS57H.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/H/B073NZS57H.glb,true,found,304,228,1,1,3,3,2048,2048
B073P1BVBS,S/B073P1BVBS.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/S/B073P1BVBS.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/S/B073P1BVBS.glb,true,found,23676,13857,1,1,3,3,2048,2048
B073P1D981,1/B073P1D981.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/1/B073P1D981.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/1/B073P1D981.glb,true,found,13274,8385,1,1,3,3,2048,2048
B073P1BVJ8,8/B073P1BVJ8.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/8/B073P1BVJ8.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/8/B073P1BVJ8.glb,true,found,322,248,1,1,3,3,2048,2048
B073P1HYFV,V/B073P1HYFV.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/V/B073P1HYFV.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/V/B073P1HYFV.glb,true,found,124,124,1,1,3,3,2048,2048
B073NZS586,6/B073NZS586.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/6/B073NZS586.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/6/B073NZS586.glb,true,found,124,128,1,1,3,3,2048,2048
B075YLRJLP,P/B075YLRJLP.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/P/B075YLRJLP.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/P/B075YLRJLP.glb,true,found,760,622,1,1,3,3,2048,2048
B073NZWZ9W,W/B073NZWZ9W.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/W/B073NZWZ9W.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/W/B073NZWZ9W.glb,true,found,940,656,1,1,3,3,2048,2048
B073P6TCQL,L/B073P6TCQL.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/L/B073P6TCQL.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B073P6TCQL.glb,true,found,1526,956,1,1,3,3,4096,4096
B073P1JNZZ,Z/B073P1JNZZ.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/Z/B073P1JNZZ.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/Z/B073P1JNZZ.glb,true,found,544,365,1,1,3,3,2048,2048
B073P1H6KJ,J/B073P1H6KJ.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/J/B073P1H6KJ.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/J/B073P1H6KJ.glb,true,found,292,294,1,1,3,3,2048,2048
B073P12T8C,C/B073P12T8C.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/C/B073P12T8C.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/C/B073P12T8C.glb,true,found,260,264,1,1,3,3,2048,2048
B075YM2V3Y,Y/B075YM2V3Y.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/Y/B075YM2V3Y.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/Y/B075YM2V3Y.glb,true,found,16128,8380,1,1,3,3,2048,2048
B075HXJ6Q9,9/B075HXJ6Q9.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/9/B075HXJ6Q9.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/9/B075HXJ6Q9.glb,true,found,19036,11226,1,1,3,3,4096,4096
B07HSMVFLG,G/B07HSMVFLG.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/G/B07HSMVFLG.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/G/B07HSMVFLG.glb,true,found,804,514,1,1,3,3,4096,4096
B075YMJBZ8,8/B075YMJBZ8.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/8/B075YMJBZ8.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/8/B075YMJBZ8.glb,true,found,8272,4883,1,1,3,3,2048,2048
B07HSLQY59,9/B07HSLQY59.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/9/B07HSLQY59.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/9/B07HSLQY59.glb,true,found,156,112,1,1,3,3,2048,2048
B073P1N45L,L/B073P1N45L.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/L/B073P1N45L.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B073P1N45L.glb,true,found,328,314,1,1,3,3,2048,2048
B073P5YXDV,V/B073P5YXDV.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/V/B073P5YXDV.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/V/B073P5YXDV.glb,true,found,324,222,1,1,3,3,2048,2048
B075YNL763,3/B075YNL763.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/3/B075YNL763.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/3/B075YNL763.glb,true,found,220,212,1,1,3,3,2048,2048
B073P1H5Z3,3/B073P1H5Z3.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/3/B073P1H5Z3.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/3/B073P1H5Z3.glb,true,found,398,300,1,1,3,3,2048,2048
B073P1F23Q,Q/B073P1F23Q.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/Q/B073P1F23Q.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/Q/B073P1F23Q.glb,true,found,468,338,1,1,3,3,2048,2048
B075YLTF8J,J/B075YLTF8J.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/J/B075YLTF8J.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/J/B075YLTF8J.glb,true,found,444,344,1,1,3,3,2048,2048
B073P1CKJH,H/B073P1CKJH.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/H/B073P1CKJH.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/H/B073P1CKJH.glb,true,found,396,347,1,1,3,3,2048,2048
B073P1H7MS,S/B073P1H7MS.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/S/B073P1H7MS.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/S/B073P1H7MS.glb,true,found,4022,2584,1,1,3,3,2048,2048
B073P19B5T,T/B073P19B5T.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/T/B073P19B5T.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/T/B073P19B5T.glb,true,found,1108,762,1,1,3,3,2048,2048
B073P14BDC,C/B073P14BDC.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/C/B073P14BDC.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/C/B073P14BDC.glb,true,found,188,167,1,1,3,3,4096,4096
