candidate_rank,source,source_file,asset_id,title,description,tags,category,license,file_format,file_size_bytes,face_count,vertex_count,object_count,material_count,texture_count,missing_textures,url_or_path,rank_score,positive_keyword_hits,negative_keyword_hits,technical_flags,auto_reasons,raw_metadata_json
11,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00838756S,,,,,,glb,,13903,10643,,1,3,,S/B00838756S.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00838756S"",""extent_x"":""0.9899901759636044"",""extent_y"":""0.7399780347127768"",""extent_z"":""0.40998134873025516"",""faces"":""13903"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""S/B00838756S.glb"",""textures"":""3"",""vertices"":""10643""}"
12,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B008RLJR2G,,,,,,glb,,30404,19890,,1,3,,G/B008RLJR2G.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B008RLJR2G"",""extent_x"":""0.850899934768676"",""extent_y"":""0.7873999672664163"",""extent_z"":""0.43002200582144173"",""faces"":""30404"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""G/B008RLJR2G.glb"",""textures"":""3"",""vertices"":""19890""}"
13,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B009S7IYKY,,,,,,glb,,23828,25026,,1,3,,Y/B009S7IYKY.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B009S7IYKY"",""extent_x"":""1.5291762071356851"",""extent_y"":""1.0000000358554293"",""extent_z"":""1.1444928313424299"",""faces"":""23828"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""Y/B009S7IYKY.glb"",""textures"":""3"",""vertices"":""25026""}"
14,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B009S7IZWG,,,,,,glb,,19974,16862,,1,3,,G/B009S7IZWG.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B009S7IZWG"",""extent_x"":""0.9150001368737649"",""extent_y"":""0.8350000774924738"",""extent_z"":""0.44000002833223745"",""faces"":""19974"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""G/B009S7IZWG.glb"",""textures"":""3"",""vertices"":""16862""}"
15,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00BBDF500,,,,,,glb,,8426,6640,,1,3,,0/B00BBDF500.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00BBDF500"",""extent_x"":""0.8999220013525356"",""extent_y"":""0.7279640908415101"",""extent_z"":""0.3398521174413104"",""faces"":""8426"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""0/B00BBDF500.glb"",""textures"":""3"",""vertices"":""6640""}"
16,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00D448IIK,,,,,,glb,,34622,22414,,1,3,,K/B00D448IIK.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00D448IIK"",""extent_x"":""0.3398520201444626"",""extent_y"":""0.06197599694132805"",""extent_z"":""0.12293603271245956"",""faces"":""34622"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""K/B00D448IIK.glb"",""textures"":""3"",""vertices"":""22414""}"
17,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00DIHVMEA,,,,,,glb,,37420,21866,,1,3,,A/B00DIHVMEA.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00DIHVMEA"",""extent_x"":""0.29717996949344166"",""extent_y"":""0.3874224193440409"",""extent_z"":""0.1676400032188673"",""faces"":""37420"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""A/B00DIHVMEA.glb"",""textures"":""3"",""vertices"":""21866""}"
18,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00DUGZFA6,,,,,,glb,,40010,22980,,1,3,,6/B00DUGZFA6.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00DUGZFA6"",""extent_x"":""0.31963561595533163"",""extent_y"":""0.243830188209968"",""extent_z"":""0.08890000913458011"",""faces"":""40010"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""6/B00DUGZFA6.glb"",""textures"":""3"",""vertices"":""22980""}"
19,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00DUGZFLK,,,,,,glb,,18748,13364,,1,3,,K/B00DUGZFLK.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00DUGZFLK"",""extent_x"":""0.428751960590194"",""extent_y"":""0.33019999741725015"",""extent_z"":""0.12649200365033786"",""faces"":""18748"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""K/B00DUGZFLK.glb"",""textures"":""3"",""vertices"":""13364""}"
20,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00EUL2B16,,,,,,glb,,13924,8763,,1,3,,6/B00EUL2B16.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00EUL2B16"",""extent_x"":""0.45719994410808457"",""extent_y"":""0.9651998836040226"",""extent_z"":""0.5841999901081077"",""faces"":""13924"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""6/B00EUL2B16.glb"",""textures"":""3"",""vertices"":""8763""}"
21,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00F5CKWBA,,,,,,glb,,11888,6917,,1,3,,A/B00F5CKWBA.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00F5CKWBA"",""extent_x"":""0.10667999743905554"",""extent_y"":""0.14731998475551578"",""extent_z"":""0.03047999487782338"",""faces"":""11888"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""A/B00F5CKWBA.glb"",""textures"":""3"",""vertices"":""6917""}"
22,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00I0VTOO4,,,,,,glb,,5920,4164,,1,3,,4/B00I0VTOO4.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00I0VTOO4"",""extent_x"":""0.5199376813676655"",""extent_y"":""1.030113935470582"",""extent_z"":""0.17456028169009144"",""faces"":""5920"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""4/B00I0VTOO4.glb"",""textures"":""3"",""vertices"":""4164""}"
23,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00IFHPVEU,,,,,,glb,,70621,38917,,1,3,,U/B00IFHPVEU.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00IFHPVEU"",""extent_x"":""0.5757669508457184"",""extent_y"":""0.997930645942688"",""extent_z"":""0.6414061784744263"",""faces"":""70621"",""image_height_max"":""2048"",""image_height_min"":""2048"",""image_width_max"":""2048"",""image_width_min"":""2048"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""U/B00IFHPVEU.glb"",""textures"":""3"",""vertices"":""38917""}"
24,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00IIFW2L4,,,,,,glb,,22120,14902,,1,3,,4/B00IIFW2L4.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00IIFW2L4"",""extent_x"":""0.6100861565537622"",""extent_y"":""1.0258619422662596"",""extent_z"":""0.6401652126674117"",""faces"":""22120"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""4/B00IIFW2L4.glb"",""textures"":""3"",""vertices"":""14902""}"
25,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00JM5TTWO,,,,,,glb,,7220,5152,,1,3,,O/B00JM5TTWO.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00JM5TTWO"",""extent_x"":""0.3962400195741642"",""extent_y"":""0.30480000233980253"",""extent_z"":""0.030479990491660766"",""faces"":""7220"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""O/B00JM5TTWO.glb"",""textures"":""3"",""vertices"":""5152""}"
26,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00MIBN16O,,,,,,glb,,36170,26649,,1,3,,O/B00MIBN16O.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00MIBN16O"",""extent_x"":""0.15239997197991062"",""extent_y"":""0.7131209005561039"",""extent_z"":""0.650240057964847"",""faces"":""36170"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""O/B00MIBN16O.glb"",""textures"":""3"",""vertices"":""26649""}"
27,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00NO73Q84,,,,,,glb,,29768,17812,,1,3,,4/B00NO73Q84.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00NO73Q84"",""extent_x"":""0.19811999016845733"",""extent_y"":""0.068579994122035"",""extent_z"":""0.431799948215484"",""faces"":""29768"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""4/B00NO73Q84.glb"",""textures"":""3"",""vertices"":""17812""}"
28,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00NUS53CY,,,,,,glb,,28976,20016,,1,3,,Y/B00NUS53CY.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00NUS53CY"",""extent_x"":""0.9071819186210632"",""extent_y"":""1.3597058057785034"",""extent_z"":""0.3518269956111908"",""faces"":""28976"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""Y/B00NUS53CY.glb"",""textures"":""3"",""vertices"":""20016""}"
29,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00NUS5GXA,,,,,,glb,,23364,27271,,1,3,,A/B00NUS5GXA.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00NUS5GXA"",""extent_x"":""0.7619999715238812"",""extent_y"":""1.587499976158142"",""extent_z"":""0.355600005635619"",""faces"":""23364"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""A/B00NUS5GXA.glb"",""textures"":""3"",""vertices"":""27271""}"
30,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00OGP5S98,,,,,,glb,,20474,19248,,1,3,,8/B00OGP5S98.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00OGP5S98"",""extent_x"":""1.199999928474426"",""extent_y"":""0.5100001627206687"",""extent_z"":""0.400000023841855"",""faces"":""20474"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""8/B00OGP5S98.glb"",""textures"":""3"",""vertices"":""19248""}"
31,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00QQNFJYC,,,,,,glb,,3463,2546,,1,3,,C/B00QQNFJYC.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00QQNFJYC"",""extent_x"":""0.7619999667490384"",""extent_y"":""0.8001003420090995"",""extent_z"":""0.548639973874249"",""faces"":""3463"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""C/B00QQNFJYC.glb"",""textures"":""3"",""vertices"":""2546""}"
32,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00R3MZITG,,,,,,glb,,6656,3459,,1,3,,G/B00R3MZITG.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00R3MZITG"",""extent_x"":""0.25669457018375397"",""extent_y"":""0.11388803273439407"",""extent_z"":""0.12596498429775238"",""faces"":""6656"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""G/B00R3MZITG.glb"",""textures"":""3"",""vertices"":""3459""}"
33,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00TOAN7YI,,,,,,glb,,19204,10624,,1,3,,I/B00TOAN7YI.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00TOAN7YI"",""extent_x"":""0.9000366926193237"",""extent_y"":""1.1999999284744263"",""extent_z"":""0.36017611622810364"",""faces"":""19204"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""I/B00TOAN7YI.glb"",""textures"":""3"",""vertices"":""10624""}"
34,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00TOAN83I,,,,,,glb,,1064,640,,1,3,,I/B00TOAN83I.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00TOAN83I"",""extent_x"":""0.870000004768372"",""extent_y"":""0.6300000302750494"",""extent_z"":""0.030000009775675643"",""faces"":""1064"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""I/B00TOAN83I.glb"",""textures"":""3"",""vertices"":""640""}"
35,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00TS18AEA,,,,,,glb,,21174,13035,,1,3,,A/B00TS18AEA.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00TS18AEA"",""extent_x"":""0.06984999101691793"",""extent_y"":""0.11429999428093442"",""extent_z"":""0.038096929490131666"",""faces"":""21174"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""A/B00TS18AEA.glb"",""textures"":""3"",""vertices"":""13035""}"
36,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00WRDRRWW,,,,,,glb,,38362,20240,,1,3,,W/B00WRDRRWW.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00WRDRRWW"",""extent_x"":""0.2555240399270076"",""extent_y"":""0.15493999995660568"",""extent_z"":""0.2362701112542822"",""faces"":""38362"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""W/B00WRDRRWW.glb"",""textures"":""3"",""vertices"":""20240""}"
37,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00WRDS0AU,,,,,,glb,,38362,20338,,1,3,,U/B00WRDS0AU.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00WRDS0AU"",""extent_x"":""0.255524009466172"",""extent_y"":""0.15493999995660568"",""extent_z"":""0.2362700960238644"",""faces"":""38362"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""U/B00WRDS0AU.glb"",""textures"":""3"",""vertices"":""20338""}"
38,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B00WRDS8H0,,,,,,glb,,15978,13309,,1,3,,0/B00WRDS8H0.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B00WRDS8H0"",""extent_x"":""0.330199986696244"",""extent_y"":""0.18288002109417473"",""extent_z"":""0.27886054282803013"",""faces"":""15978"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""0/B00WRDS8H0.glb"",""textures"":""3"",""vertices"":""13309""}"
