dedup_rank,candidate_rank,asset_id,abo_path,download_url,local_glb_path,rank_score,flatness_ratio,panel_aspect_ratio,faces,textures,materials,images,dedupe_key
15,26,B06VVXMJ1S,S/B06VVXMJ1S.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/S/B06VVXMJ1S.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/S/B06VVXMJ1S.glb,13.0000,0.004687,1.147025,1568,3,1,3,"ext:0.00,0.39,0.45|flat:0.00|aspect:1.15|faces:0|textures:3|materials:1"
16,27,B06X19FLTC,C/B06X19FLTC.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/C/B06X19FLTC.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/C/B06X19FLTC.glb,13.0000,0.003376,2.138396,1568,3,1,3,"ext:0.00,0.42,0.91|flat:0.00|aspect:2.14|faces:0|textures:3|materials:1"
17,28,B06X3W3YQD,D/B06X3W3YQD.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/D/B06X3W3YQD.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/D/B06X3W3YQD.glb,13.0000,0.006456,1.171099,1568,3,1,3,"ext:0.00,0.27,0.31|flat:0.01|aspect:1.17|faces:0|textures:3|materials:1"
18,29,B06X6H2WF7,7/B06X6H2WF7.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/7/B06X6H2WF7.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/7/B06X6H2WF7.glb,13.0000,0.008631,1.179079,1568,3,1,3,"ext:0.00,0.21,0.25|flat:0.01|aspect:1.18|faces:0|textures:3|materials:1"
19,30,B07121ZVVT,T/B07121ZVVT.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/T/B07121ZVVT.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/T/B07121ZVVT.glb,13.0000,0.006563,1.498902,2672,3,1,3,"ext:0.01,1.52,2.28|flat:0.01|aspect:1.50|faces:1|textures:3|materials:1"
20,31,B07121ZVX4,4/B07121ZVX4.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/4/B07121ZVX4.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/4/B07121ZVX4.glb,13.0000,0.005935,1.367459,2416,3,1,3,"ext:0.01,1.57,2.14|flat:0.01|aspect:1.37|faces:0|textures:3|materials:1"
21,32,B07121ZVXN,N/B07121ZVXN.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/N/B07121ZVXN.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/N/B07121ZVXN.glb,13.0000,0.006223,1.265103,6964,3,1,3,"ext:0.02,2.29,2.90|flat:0.01|aspect:1.27|faces:1|textures:3|materials:1"
22,33,B07121ZWNC,C/B07121ZWNC.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/C/B07121ZWNC.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/C/B07121ZWNC.glb,13.0000,0.006957,1.389057,1776,3,1,3,"ext:0.01,1.54,2.14|flat:0.01|aspect:1.39|faces:0|textures:3|materials:1"
23,34,B0713T6T4D,D/B0713T6T4D.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/D/B0713T6T4D.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/D/B0713T6T4D.glb,13.0000,0.030209,1.281952,21768,3,1,3,"ext:0.03,0.77,0.98|flat:0.03|aspect:1.28|faces:4|textures:3|materials:1"
24,35,B0713T6W1C,C/B0713T6W1C.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/C/B0713T6W1C.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/C/B0713T6W1C.glb,13.0000,0.052900,1.000001,2412,3,1,3,"ext:0.03,0.61,0.61|flat:0.05|aspect:1.00|faces:0|textures:3|materials:1"
25,36,B0714MJDXC,C/B0714MJDXC.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/C/B0714MJDXC.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/C/B0714MJDXC.glb,13.0000,0.009621,1.491997,1076,3,1,3,"ext:0.02,1.23,1.84|flat:0.01|aspect:1.49|faces:0|textures:3|materials:1"
26,37,B0714MJKZW,W/B0714MJKZW.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/W/B0714MJKZW.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/W/B0714MJKZW.glb,13.0000,0.008651,1.602949,2036,3,1,3,"ext:0.02,1.53,2.45|flat:0.01|aspect:1.60|faces:0|textures:3|materials:1"
27,38,B0714MJL15,5/B0714MJL15.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/5/B0714MJL15.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/5/B0714MJL15.glb,13.0000,0.006438,1.257518,4160,3,1,3,"ext:0.02,2.41,3.03|flat:0.01|aspect:1.26|faces:1|textures:3|materials:1"
28,39,B0714MJLPX,X/B0714MJLPX.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/X/B0714MJLPX.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/X/B0714MJLPX.glb,13.0000,0.007348,1.591273,2816,3,1,3,"ext:0.02,1.54,2.45|flat:0.01|aspect:1.59|faces:1|textures:3|materials:1"
29,40,B0714MJLTB,B/B0714MJLTB.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/B/B0714MJLTB.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/B/B0714MJLTB.glb,13.0000,0.004255,1.596711,19910,3,1,3,"ext:0.01,1.53,2.44|flat:0.00|aspect:1.60|faces:4|textures:3|materials:1"
30,41,B0714MMHBL,L/B0714MMHBL.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/L/B0714MMHBL.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B0714MMHBL.glb,13.0000,0.007078,1.571677,7200,3,1,3,"ext:0.01,1.06,1.67|flat:0.01|aspect:1.57|faces:1|textures:3|materials:1"
