dedup_rank,asset_id,local_glb_path,contact_sheet_page,flatness_ratio,panel_aspect_ratio,faces,textures,materials,import_ok,render_ok,human_decision,reject_reason,subclass,selected_input_view,alternative_input_view,primary_eval_views,front_quality_score,texture_quality_score,leakage_risk,notes
13,B01LP0U5X0,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/0/B01LP0U5X0.glb,contact_sheet_002.jpg,0.011451,3.034865,10752,3,1,yes,yes,,,,,,,,,,
14,B01LP0UX9G,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/G/B01LP0UX9G.glb,contact_sheet_002.jpg,0.011360,3.059153,10752,3,1,yes,yes,,,,,,,,,,
15,B06VVXMJ1S,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/S/B06VVXMJ1S.glb,contact_sheet_002.jpg,0.004687,1.147025,1568,3,1,yes,yes,,,,,,,,,,
16,B06X19FLTC,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/C/B06X19FLTC.glb,contact_sheet_002.jpg,0.003376,2.138396,1568,3,1,yes,yes,,,,,,,,,,
17,B06X3W3YQD,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/D/B06X3W3YQD.glb,contact_sheet_002.jpg,0.006456,1.171099,1568,3,1,yes,yes,,,,,,,,,,
18,B06X6H2WF7,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/7/B06X6H2WF7.glb,contact_sheet_002.jpg,0.008631,1.179079,1568,3,1,yes,yes,,,,,,,,,,
19,B07121ZVVT,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/T/B07121ZVVT.glb,contact_sheet_002.jpg,0.006563,1.498902,2672,3,1,yes,yes,,,,,,,,,,
20,B07121ZVX4,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/4/B07121ZVX4.glb,contact_sheet_002.jpg,0.005935,1.367459,2416,3,1,yes,yes,,,,,,,,,,
21,B07121ZVXN,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/N/B07121ZVXN.glb,contact_sheet_003.jpg,0.006223,1.265103,6964,3,1,yes,yes,,,,,,,,,,
22,B07121ZWNC,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/C/B07121ZWNC.glb,contact_sheet_003.jpg,0.006957,1.389057,1776,3,1,yes,yes,,,,,,,,,,
23,B0713T6T4D,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/D/B0713T6T4D.glb,contact_sheet_003.jpg,0.030209,1.281952,21768,3,1,yes,yes,,,,,,,,,,
24,B0713T6W1C,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/C/B0713T6W1C.glb,contact_sheet_003.jpg,0.052900,1.000001,2412,3,1,yes,yes,,,,,,,,,,
25,B0714MJDXC,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/C/B0714MJDXC.glb,contact_sheet_003.jpg,0.009621,1.491997,1076,3,1,yes,yes,,,,,,,,,,
26,B0714MJKZW,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/W/B0714MJKZW.glb,contact_sheet_003.jpg,0.008651,1.602949,2036,3,1,yes,yes,,,,,,,,,,
27,B0714MJL15,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/5/B0714MJL15.glb,contact_sheet_003.jpg,0.006438,1.257518,4160,3,1,yes,yes,,,,,,,,,,
28,B0714MJLPX,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/X/B0714MJLPX.glb,contact_sheet_003.jpg,0.007348,1.591273,2816,3,1,yes,yes,,,,,,,,,,
29,B0714MJLTB,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/B/B0714MJLTB.glb,contact_sheet_003.jpg,0.004255,1.596711,19910,3,1,yes,yes,,,,,,,,,,
30,B0714MMHBL,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B0714MMHBL.glb,contact_sheet_003.jpg,0.007078,1.571677,7200,3,1,yes,yes,,,,,,,,,,
