candidate_rank,asset_id,metadata_path,expected_glb_relative_path,rank_score,flatness_ratio,panel_aspect_ratio,extents,extent_x,extent_y,extent_z,faces,textures,materials,images,local_glb_exists,local_glb_path,needs_download
14,B01GGKZ0V6,6/B01GGKZ0V6.glb,6/B01GGKZ0V6.glb,13.0000,0.070108,2.903171,0.202982 x 0.014231 x 0.069917,0.202982,0.014231,0.069917,18646,3,1,3,no,,yes
15,B01LONPUM4,4/B01LONPUM4.glb,4/B01LONPUM4.glb,13.0000,0.047500,2.422658,0.0406 x 0.004672 x 0.098359,0.0406,0.004672,0.098359,7824,3,1,3,no,,yes
16,B01LONQ3TS,S/B01LONQ3TS.glb,S/B01LONQ3TS.glb,13.0000,0.047500,2.422657,0.0406 x 0.004672 x 0.098359,0.0406,0.004672,0.098359,7824,3,1,3,no,,yes
17,B01LONQ7R6,6/B01LONQ7R6.glb,6/B01LONQ7R6.glb,13.0000,0.055945,2.432153,0.040447 x 0.005504 x 0.098374,0.040447,0.005504,0.098374,7890,3,1,3,no,,yes
18,B01LONQBDG,G/B01LONQBDG.glb,G/B01LONQBDG.glb,13.0000,0.055945,2.432153,0.040447 x 0.005504 x 0.098374,0.040447,0.005504,0.098374,7890,3,1,3,no,,yes
19,B01LP0U5X0,0/B01LP0U5X0.glb,0/B01LP0U5X0.glb,13.0000,0.011451,3.034865,1.86868 x 0.021399 x 0.615737,1.86868,0.021399,0.615737,10752,3,1,3,no,,yes
20,B01LP0UKJE,E/B01LP0UKJE.glb,E/B01LP0UKJE.glb,13.0000,0.011451,3.034865,1.86868 x 0.021399 x 0.615737,1.86868,0.021399,0.615737,10752,3,1,3,no,,yes
21,B01LP0UQX4,4/B01LP0UQX4.glb,4/B01LP0UQX4.glb,13.0000,0.011451,3.034865,1.86868 x 0.021399 x 0.615737,1.86868,0.021399,0.615737,10752,3,1,3,no,,yes
22,B01LP0UX9G,G/B01LP0UX9G.glb,G/B01LP0UX9G.glb,13.0000,0.011360,3.059153,1.883635 x 0.021399 x 0.615737,1.883635,0.021399,0.615737,10752,3,1,3,no,,yes
23,B01LP0V4JY,Y/B01LP0V4JY.glb,Y/B01LP0V4JY.glb,13.0000,0.011451,3.034865,1.86868 x 0.021399 x 0.615737,1.86868,0.021399,0.615737,10752,3,1,3,no,,yes
24,B01LP0VBDI,I/B01LP0VBDI.glb,I/B01LP0VBDI.glb,13.0000,0.011451,3.034865,1.86868 x 0.021399 x 0.615737,1.86868,0.021399,0.615737,10752,3,1,3,no,,yes
25,B01LP0VI3G,G/B01LP0VI3G.glb,G/B01LP0VI3G.glb,13.0000,0.011360,3.059153,1.883635 x 0.021399 x 0.615737,1.883635,0.021399,0.615737,10752,3,1,3,no,,yes
26,B06VVXMJ1S,S/B06VVXMJ1S.glb,S/B06VVXMJ1S.glb,13.0000,0.004687,1.147025,0.451021 x 0.002114 x 0.39321,0.451021,0.002114,0.39321,1568,3,1,3,no,,yes
27,B06X19FLTC,C/B06X19FLTC.glb,C/B06X19FLTC.glb,13.0000,0.003376,2.138396,0.906579 x 0.00306 x 0.423953,0.906579,0.00306,0.423953,1568,3,1,3,no,,yes
28,B06X3W3YQD,D/B06X3W3YQD.glb,D/B06X3W3YQD.glb,13.0000,0.006456,1.171099,0.314933 x 0.002033 x 0.268921,0.314933,0.002033,0.268921,1568,3,1,3,no,,yes
29,B06X6H2WF7,7/B06X6H2WF7.glb,7/B06X6H2WF7.glb,13.0000,0.008631,1.179079,0.248691 x 0.002146 x 0.21092,0.248691,0.002146,0.21092,1568,3,1,3,no,,yes
30,B07121ZVVT,T/B07121ZVVT.glb,T/B07121ZVVT.glb,13.0000,0.006563,1.498902,2.2804 x 0.014967 x 1.52138,2.2804,0.014967,1.52138,2672,3,1,3,no,,yes
31,B07121ZVX4,4/B07121ZVX4.glb,4/B07121ZVX4.glb,13.0000,0.005935,1.367459,2.141397 x 0.01271 x 1.565968,2.141397,0.01271,1.565968,2416,3,1,3,no,,yes
32,B07121ZVXN,N/B07121ZVXN.glb,N/B07121ZVXN.glb,13.0000,0.006223,1.265103,2.895149 x 0.018016 x 2.288469,2.895149,0.018016,2.288469,6964,3,1,3,no,,yes
33,B07121ZWNC,C/B07121ZWNC.glb,C/B07121ZWNC.glb,13.0000,0.006957,1.389057,2.143782 x 0.014913 x 1.543336,2.143782,0.014913,1.543336,1776,3,1,3,no,,yes
34,B0713T6T4D,D/B0713T6T4D.glb,D/B0713T6T4D.glb,13.0000,0.030209,1.281952,0.766643 x 0.982799 x 0.029689,0.766643,0.982799,0.029689,21768,3,1,3,no,,yes
35,B0713T6W1C,C/B0713T6W1C.glb,C/B0713T6W1C.glb,13.0000,0.052900,1.000001,0.609914 x 0.609913 x 0.032265,0.609914,0.609913,0.032265,2412,3,1,3,no,,yes
36,B0714MJDXC,C/B0714MJDXC.glb,C/B0714MJDXC.glb,13.0000,0.009621,1.491997,1.835409 x 0.017658 x 1.230169,1.835409,0.017658,1.230169,1076,3,1,3,no,,yes
37,B0714MJKZW,W/B0714MJKZW.glb,W/B0714MJKZW.glb,13.0000,0.008651,1.602949,2.447462 x 0.021173 x 1.526849,2.447462,0.021173,1.526849,2036,3,1,3,no,,yes
38,B0714MJL15,5/B0714MJL15.glb,5/B0714MJL15.glb,13.0000,0.006438,1.257518,3.032299 x 0.019521 x 2.411336,3.032299,0.019521,2.411336,4160,3,1,3,no,,yes
39,B0714MJLPX,X/B0714MJLPX.glb,X/B0714MJLPX.glb,13.0000,0.007348,1.591273,2.448924 x 0.017995 x 1.538972,2.448924,0.017995,1.538972,2816,3,1,3,no,,yes
40,B0714MJLTB,B/B0714MJLTB.glb,B/B0714MJLTB.glb,13.0000,0.004255,1.596711,2.440411 x 0.010384 x 1.528399,2.440411,0.010384,1.528399,19910,3,1,3,no,,yes
