asset_id,split,source,abo_relative_path,subclass,conditioning_view,alternate_front_oblique_view,face_count,mesh_count,material_count,texture_image_count,bbox_extents
B073P19S5F,train,ABO,F/B073P19S5F.glb,framed_wall_art,005,004,236,1,60,174,0.431800 x 0.021338 x 0.508000
B073P1H5Z3,train,ABO,3/B073P1H5Z3.glb,framed_wall_art,005,004,398,1,87,255,0.430295 x 0.021338 x 0.509171
B075YNL7DH,train,ABO,H/B075YNL7DH.glb,framed_wall_art,005,004,444,1,48,138,0.380743 x 0.012813 x 0.683394
B075YLTF8J,train,ABO,J/B075YLTF8J.glb,framed_wall_art,005,004,444,1,89,261,0.380302 x 0.012579 x 0.682602
B075YLKB9G,train,ABO,G/B075YLKB9G.glb,framed_wall_art,005,004,2010,1,24,66,0.459960 x 0.019860 x 0.560783
B073P16J7L,train,ABO,L/B073P16J7L.glb,framed_wall_art,005,004,184,1,35,99,0.454940 x 0.033943 x 0.552148
B073P1WWTQ,train,ABO,Q/B073P1WWTQ.glb,framed_wall_art,005,004,736,1,38,108,0.458219 x 0.028543 x 0.557842
B075YLQTGZ,train,ABO,Z/B075YLQTGZ.glb,framed_wall_art,005,004,504,1,34,96,0.461950 x 0.029822 x 0.558142
B073P1F23Q,train,ABO,Q/B073P1F23Q.glb,framed_wall_art,005,004,468,1,88,258,0.451023 x 0.039440 x 0.552779
B073P19RVS,train,ABO,S/B073P19RVS.glb,framed_wall_art,005,004,316,1,33,93,0.457200 x 0.028575 x 0.558800
B073P19B5T,train,ABO,T/B073P19B5T.glb,framed_wall_art,005,004,1108,1,92,270,0.456806 x 0.028055 x 0.558923
B075YNL7JB,train,ABO,B/B075YNL7JB.glb,framed_wall_art,005,004,282,1,37,105,0.461030 x 0.030559 x 0.558191
B073P1LM8D,train,ABO,D/B073P1LM8D.glb,framed_wall_art,005,004,92,1,6,12,0.460292 x 0.028392 x 0.556316
B075YLXVBF,train,ABO,F/B075YLXVBF.glb,framed_wall_art,005,004,8346,1,17,45,0.325863 x 0.014046 x 0.402107
B075YLJMHK,train,ABO,K/B075YLJMHK.glb,framed_wall_art,005,004,756,1,10,24,0.381385 x 0.029234 x 0.329805
B073NZWZ5F,train,ABO,F/B073NZWZ5F.glb,framed_wall_art,005,004,784,1,18,48,0.380371 x 0.027972 x 0.330313
B075YL2S9V,train,ABO,V/B075YL2S9V.glb,framed_wall_art,005,004,1034,1,7,15,0.380944 x 0.027758 x 0.313473
B073NZFTH9,train,ABO,9/B073NZFTH9.glb,framed_wall_art,005,004,1732,1,25,69,0.380731 x 0.028168 x 0.321469
B075YL2S8V,train,ABO,V/B075YL2S8V.glb,framed_wall_art,005,004,540,1,7,15,0.381002 x 0.025004 x 0.330198
B075YMJCH9,train,ABO,9/B075YMJCH9.glb,framed_wall_art,005,004,1020,1,26,72,0.380654 x 0.030786 x 0.329962
B073P5Y9ST,train,ABO,T/B073P5Y9ST.glb,framed_wall_art,005,004,616,1,21,57,1.018858 x 0.018796 x 1.527162
B073P1GFXV,train,ABO,V/B073P1GFXV.glb,framed_wall_art,005,004,92,1,8,18,0.558995 x 0.028516 x 0.556822
B075HRC94H,train,ABO,H/B075HRC94H.glb,framed_wall_art,005,004,3472,1,47,135,0.609600 x 0.038100 x 0.609600
B075YM2V3Y,train,ABO,Y/B075YM2V3Y.glb,framed_wall_art,005,004,16128,1,79,231,0.950189 x 0.052566 x 1.193672
B073P1H6KJ,train,ABO,J/B073P1H6KJ.glb,framed_wall_art,005,004,292,1,77,225,0.304095 x 0.012700 x 0.431797
B073P6BQQF,train,ABO,F/B073P6BQQF.glb,framed_wall_art,005,004,2052,1,45,129,0.647700 x 0.050800 x 1.460500
B073P77B6B,train,ABO,B/B073P77B6B.glb,framed_wall_art,005,004,536,1,13,33,0.403840 x 0.009608 x 0.506796
B073P1HRN3,train,ABO,3/B073P1HRN3.glb,framed_wall_art,005,004,340,1,57,165,0.324928 x 0.010331 x 0.474111
B073P5Y9SH,train,ABO,H/B073P5Y9SH.glb,framed_wall_art,005,004,808,1,28,78,0.331853 x 0.012000 x 0.508426
B073P1N3BY,train,ABO,Y/B073P1N3BY.glb,framed_wall_art,005,004,11504,1,44,126,0.396726 x 0.020069 x 0.598955
B073P13J3C,train,ABO,C/B073P13J3C.glb,framed_wall_art,005,004,220,1,97,285,1.192000 x 0.013025 x 0.810600
B073NZS57H,train,ABO,H/B073NZS57H.glb,framed_wall_art,005,004,304,1,67,195,0.609247 x 0.037670 x 0.760157
B075YLKCCW,train,ABO,W/B075YLKCCW.glb,framed_wall_art,005,004,426,1,94,276,0.609600 x 0.038100 x 0.762000
B073P1BVTF,train,ABO,F/B073P1BVTF.glb,framed_wall_art,005,004,496,1,59,171,0.911881 x 0.037770 x 0.611843
B075YNHLD5,train,ABO,5/B075YNHLD5.glb,framed_wall_art,005,004,102,1,54,156,0.916621 x 0.019473 x 0.626408
B073P1H61D,train,ABO,D/B073P1H61D.glb,framed_wall_art,005,004,348,1,31,87,0.911906 x 0.037794 x 0.608260
B073P14BDC,train,ABO,C/B073P14BDC.glb,framed_wall_art,005,004,188,1,93,273,0.818741 x 0.015246 x 0.552218
B073P5RRF9,train,ABO,9/B073P5RRF9.glb,framed_wall_art,005,004,2156,1,61,177,1.168400 x 0.025450 x 1.066800
B073P1BVBV,train,ABO,V/B073P1BVBV.glb,framed_wall_art,005,004,348,1,15,39,0.607479 x 0.035997 x 0.405201
B073P1HYFV,train,ABO,V/B073P1HYFV.glb,framed_wall_art,005,004,124,1,71,207,0.606783 x 0.033025 x 0.405068
B073P13J43,train,ABO,3/B073P13J43.glb,framed_wall_art,005,004,680,1,27,75,0.609292 x 0.038703 x 0.405890
B073NZT56C,train,ABO,C/B073NZT56C.glb,framed_wall_art,005,004,140,1,43,123,0.608728 x 0.033025 x 0.406366
B073P1KF99,train,ABO,9/B073P1KF99.glb,framed_wall_art,005,004,164,1,30,84,0.608917 x 0.035227 x 0.405077
B07W5BDJ73,train,ABO,3/B07W5BDJ73.glb,framed_wall_art,005,004,127654,1,9,21,0.165000 x 0.025000 x 0.216000
B073P1WWTL,train,ABO,L/B073P1WWTL.glb,framed_wall_art,005,004,2196,1,3,3,0.838582 x 0.072984 x 0.967742
B073P1LM2L,train,ABO,L/B073P1LM2L.glb,framed_wall_art,005,004,576,1,36,102,0.559083 x 0.028603 x 0.457802
B075YLSC6F,train,ABO,F/B075YLSC6F.glb,framed_wall_art,005,004,1020,1,19,51,0.554247 x 0.030398 x 0.453773
B075YLMBYB,train,ABO,B/B075YLMBYB.glb,framed_wall_art,005,004,2266,1,6,12,0.559504 x 0.034645 x 0.457776
B075YNL7GJ,train,ABO,J/B075YNL7GJ.glb,framed_wall_art,005,004,278,1,5,9,0.558188 x 0.033490 x 0.457188
B075YLRJLP,train,ABO,P/B075YLRJLP.glb,framed_wall_art,005,004,760,1,73,213,0.557410 x 0.031522 x 0.455955
B075YLKFB6,train,ABO,6/B075YLKFB6.glb,framed_wall_art,005,004,1020,1,14,36,0.307553 x 0.030495 x 0.304909
B073P5KN5N,train,ABO,N/B073P5KN5N.glb,framed_wall_art,005,004,1732,1,22,60,0.304666 x 0.038162 x 0.303551
B073P5QJ5T,train,ABO,T/B073P5QJ5T.glb,framed_wall_art,005,004,540,1,40,114,0.302843 x 0.014818 x 0.302762
B075YLPZ9V,train,ABO,V/B075YLPZ9V.glb,framed_wall_art,005,004,394,1,50,144,0.508000 x 0.019031 x 0.508000
B073P5C7JG,train,ABO,G/B073P5C7JG.glb,framed_wall_art,005,004,196,1,49,141,0.505671 x 0.037769 x 0.505671
B073P1D981,validation,ABO,1/B073P1D981.glb,framed_wall_art,005,004,13274,1,69,201,0.608401 x 0.030072 x 0.406016
B075YLG1B5,validation,ABO,5/B075YLG1B5.glb,framed_wall_art,005,004,260,1,63,183,1.055709 x 0.020361 x 0.760677
B075YM2VXJ,validation,ABO,J/B075YM2VXJ.glb,framed_wall_art,005,004,3916,1,11,27,0.308428 x 0.030238 x 0.378682
B075YLQTJ3,validation,ABO,3/B075YLQTJ3.glb,framed_wall_art,005,004,1020,1,23,63,0.324813 x 0.027824 x 0.380466
B075YLXSJC,validation,ABO,C/B075YLXSJC.glb,framed_wall_art,005,004,1084,1,32,90,0.324813 x 0.017643 x 0.396733
B075YLQTNP,validation,ABO,P/B075YLQTNP.glb,framed_wall_art,005,004,756,1,5,9,0.329013 x 0.023742 x 0.403955
B073P52NDX,validation,ABO,X/B073P52NDX.glb,framed_wall_art,005,004,652,1,16,42,0.508000 x 0.038100 x 0.508000
B073P1S8VZ,validation,ABO,Z/B073P1S8VZ.glb,framed_wall_art,005,004,1760,1,46,132,0.456415 x 0.021517 x 0.453188
B073P51233,validation,ABO,3/B073P51233.glb,framed_wall_art,005,004,288,1,41,117,0.505888 x 0.035746 x 0.503450
B077X6WSH1,validation,ABO,1/B077X6WSH1.glb,framed_wall_art,005,004,108,1,98,288,0.457166 x 0.002543 x 0.609307
B073NZS586,test,ABO,6/B073NZS586.glb,framed_wall_art,005,004,124,1,72,210,0.254952 x 0.024981 x 0.375647
B073P1JNZZ,test,ABO,Z/B073P1JNZZ.glb,framed_wall_art,005,004,544,1,76,222,0.258916 x 0.038057 x 0.383598
B075HXJ6Q9,test,ABO,9/B075HXJ6Q9.glb,framed_wall_art,005,004,19036,1,80,234,0.762000 x 0.038100 x 0.762000
B073P1N4C4,test,ABO,4/B073P1N4C4.glb,framed_wall_art,005,004,360,1,96,282,0.356341 x 0.013057 x 0.355616
B073NZGLT1,test,ABO,1/B073NZGLT1.glb,framed_wall_art,005,004,864,1,39,111,0.406047 x 0.025588 x 0.610761
B073P1CKJH,test,ABO,H/B073P1CKJH.glb,framed_wall_art,005,004,396,1,90,264,0.811919 x 0.012925 x 0.812559
B073P5FLX9,test,ABO,9/B073P5FLX9.glb,framed_wall_art,005,004,1732,1,12,30,0.762083 x 0.038162 x 0.761801
B073P1H7MS,test,ABO,S/B073P1H7MS.glb,framed_wall_art,005,004,4022,1,91,267,0.756585 x 0.028444 x 0.761714
B07HSK626Y,test,ABO,Y/B07HSK626Y.glb,framed_wall_art,005,004,804,1,42,120,0.760510 x 0.047834 x 0.761851
B073P1H6D8,test,ABO,8/B073P1H6D8.glb,framed_wall_art,005,004,348,1,52,150,0.805392 x 0.021750 x 0.802847
B075YNL763,test,ABO,3/B075YNL763.glb,framed_wall_art,005,004,220,1,86,252,0.481056 x 0.019592 x 0.613285
